Measure Mode: memory
Thread ID: 20079756
Fiber ID: 19903176
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Thread::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#add
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
   NaN      0.000     0.000     0.000     0.000        1   Hash#delete
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::NonConcurrentCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::MriCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionHandling#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   Array#clear
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback_records
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   SQLite3::Database#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::SQLite3Adapter#exec_rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::RealTransaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionManager#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#closed?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#after_teardown
   NaN      0.000     0.000     0.000     0.000        2   Array#delete
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe
   NaN      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::IntegrationTest>#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::SetupAndTeardown#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#before_teardown
   NaN      0.000     0.000     0.000     0.000     1000   #<Module:0x60c0018>#__temp__07167696e616
   NaN      0.000     0.000     0.000     0.000     1000   #<Module:0x60c0018>#__temp__36f6e6471647f6f59646
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Reflection::AssociationReflection#counter_cache_column
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Reflection::BelongsToReflection#belongs_to?
   NaN      0.000     0.000     0.000     0.000     1000   <Class::Acesso(id: integer, pagina: string, created_at: datetime, updated_at: datetime, contato_id: integer)>#_reflections
   NaN      0.000     0.000     0.000     0.000       54   Float#/
   NaN      0.000     0.000     0.000     0.000       54   Float#quo
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Associations#association_instance_get
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::AutosaveAssociation#save_belongs_to_association
   NaN      0.000     0.000     0.000     0.000     1000   BasicObject#instance_eval
   NaN      0.000     0.000     0.000     0.000     1000   Acesso(id: integer, pagina: string, created_at: datetime, updated_at: datetime, contato_id: integer)#autosave_associated_records_for_contato
   NaN      0.000     0.000     0.000     0.000     1000   <Class::Acesso(id: integer, pagina: string, created_at: datetime, updated_at: datetime, contato_id: integer)>#_save_callbacks
   NaN      0.000     0.000     0.000     0.000     1000   #<Module:0x60b8338>#__temp__07167696e616
   NaN      0.000     0.000     0.000     0.000     1000   String#to_i
   NaN      0.000     0.000     0.000     0.000     1000   Regexp#===
   NaN      0.000     0.000     0.000     0.000     1000   String#blank?
   NaN      0.000     0.000     0.000     0.000     1000   Object#presence
   NaN      0.000     0.000     0.000     0.000     1000   #<Module:0x60b8338>#__temp__36f6e6471647f6f59646
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::Transactions#force_clear_transaction_record_state
   NaN      0.000     0.000     0.000     0.000     2002   ActiveRecord::Transactions#clear_transaction_record_state
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::TransactionState#committed?
   NaN      0.000     0.000     0.000     0.000     1002   Set#include?
   NaN      0.000     0.000     0.000     0.000     1002   ActiveRecord::ConnectionAdapters::TransactionState#set_state
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::Transaction#commit
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::Savepoints#release_savepoint
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::SavepointTransaction#commit
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::TransactionManager#commit_transaction
   NaN      0.000     0.000     0.000     0.000     1001   Thread#status
   NaN      0.000     0.000     0.000     0.000     1001   Array#|
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::LazyAttributeHash#initialized_keys
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeSet#keys
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeMethods#attribute_names
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeMethods::Dirty#store_original_raw_attributes
   NaN      0.000     0.000     0.000     0.000     1001   Kernel#remove_instance_variable
   NaN      0.000     0.000     0.000     0.000     4004   ActiveSupport::TimeWithZone#is_a?
   NaN      0.000     0.000     0.000     0.000     5005   Array#map!
   NaN      0.000     0.000     0.000     0.000     1001   <Class::Hash>#[]
   NaN      0.000     0.000     0.000     0.000     1001   <Class::ActiveSupport::HashWithIndifferentAccess>#[]
   NaN      0.000     0.000     0.000     0.000     1001   #<Module:0x60c0018>#__temp__57074616475646f51647
   NaN      0.000     0.000     0.000     0.000     1001   #<Module:0x60c0018>#__temp__36275616475646f51647
   NaN      0.000     0.000     0.000     0.000        1   #<Module:0x60c0018>#__temp__56d61696c6
   NaN      0.000     0.000     0.000     0.000        1   #<Module:0x60c0018>#__temp__e6f6d656
   NaN      0.000     0.000     0.000     0.000     5005   Hash#[]
   NaN      0.000     0.000     0.000     0.000     5005   ActiveModel::Dirty#attribute_change
   NaN      0.000     0.000     0.000     0.000     1001   ActiveModel::Dirty#changes
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeMethods::Dirty#cache_changed_attributes
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeMethods::Dirty#changes
   NaN      0.000     0.000     0.000     0.000     1001   ActiveModel::Dirty#changes_applied
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::AttributeMethods::Dirty#changes_applied
   NaN      0.000     0.000     0.000     0.000     1001   Fixnum#==
   NaN      0.000     0.000     0.000     0.000     1001   BasicObject#!=
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::Base>#_reflections
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::Base#_reflections
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::CounterCache#each_counter_cached_associations
   NaN      0.000     0.000     0.000     0.000     2001   ActiveRecord::Type::Numeric#changed?
   NaN      0.000     0.000     0.000     0.000     5002   Fixnum#<=>
   NaN      0.000     0.000     0.000     0.000     5002   Bignum#<=>
   NaN      0.000     0.000     0.000     0.000     5002   Range#cover?
   NaN      0.000     0.000     0.000     0.000     5002   ActiveRecord::Type::Integer#ensure_in_range
   NaN      0.000     0.000     0.000     0.000     5002   ActiveRecord::Type::Integer#type_cast_for_database
   NaN      0.000     0.000     0.000     0.000     7003   ActiveRecord::Type::Integer#cast_value
   NaN      0.000     0.000     0.000     0.000     7003   ActiveRecord::Type::Numeric#type_cast
   NaN      0.000     0.000     0.000     0.000     1001   #<Module:0x60b8338>#__temp__9646
   NaN      0.000     0.000     0.000     0.000     1001   SQLite3::Database#last_insert_row_id
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::SQLite3Adapter#last_inserted_id
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::Result#initialize
   NaN      0.000     0.000     0.000     0.000     1001   Enumerable#to_a
   NaN      0.000     0.000     0.000     0.000     4004   SQLite3::Statement#bind_param
   NaN      0.000     0.000     0.000     0.000     1001   SQLite3::Statement#reset!
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::SQLite3Adapter::StatementPool#cache
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::SQLite3Adapter::StatementPool#[]
   NaN      0.000     0.000     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::AbstractAdapter#without_prepared_statement?
   NaN      0.000     0.000     0.000     0.000     2002   Kernel#sprintf
   NaN      0.000     0.000     0.000     0.000     2002   Time#usec
   NaN      0.000     0.000     0.000     0.000     2002   Time#strftime
   NaN      0.000     0.000     0.000     0.000     2002   Time#to_formatted_s
   NaN      0.000     0.000     0.000     0.000     2002   Time#getutc
   NaN      0.000     0.000     0.000     0.000     2002   ActiveRecord::ConnectionAdapters::Quoting#quoted_date
   NaN      0.000     0.000     0.000     0.000     2002   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quoted_date
   NaN      0.000     0.000     0.000     0.000     2002   Time#plus_without_duration
   NaN      0.000     0.000     0.000     0.000     2002   Time#plus_with_duration
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimeOrDateTime#+
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimezoneOffset#to_local
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimezonePeriod#to_local
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimezonePeriod#initialize
   NaN      0.000     0.000     0.000     0.000     4004   Comparable#>
   NaN      0.000     0.000     0.000     0.000     2002   Integer#upto
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TransitionDataTimezoneInfo#transition_after_start
   NaN      0.000     0.000     0.000     0.000     6006   Time#compare_without_coercion
   NaN      0.000     0.000     0.000     0.000     6006   Time#getlocal
   NaN      0.000     0.000     0.000     0.000     6006   Time#to_time
   NaN      0.000     0.000     0.000     0.000     6006   Time#compare_with_coercion
   NaN      0.000     0.000     0.000     0.000    14014   TZInfo::TimeOrDateTime#to_time
   NaN      0.000     0.000     0.000     0.000     6006   TZInfo::TimeOrDateTime#to_orig
   NaN      0.000     0.000     0.000     0.000     6006   TZInfo::TimeOrDateTime#<=>
   NaN      0.000     0.000     0.000     0.000     2002   Comparable#<=
   NaN      0.000     0.000     0.000     0.000     6006   TZInfo::TimezoneTransitionDefinition#at
   NaN      0.000     0.000     0.000     0.000     2002   Integer#downto
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TransitionDataTimezoneInfo#transition_before_end
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TransitionDataTimezoneInfo#transition_index
   NaN      0.000     0.000     0.000     0.000     2002   Time#mon
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimeOrDateTime#mon
   NaN      0.000     0.000     0.000     0.000     2002   Time#year
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TimeOrDateTime#year
   NaN      0.000     0.000     0.000     0.000     6006   Time#nsec
   NaN      0.000     0.000     0.000     0.000     6006   <Module::TZInfo::RubyCoreSupport>#time_nsec
   NaN      0.000     0.000     0.000     0.000     6006   TZInfo::TimeOrDateTime#initialize
   NaN      0.000     0.000     0.000     0.000     4004   <Class::TZInfo::TimeOrDateTime>#wrap
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::TransitionDataTimezoneInfo#period_for_utc
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::InfoTimezone#info
   NaN      0.000     0.000     0.000     0.000     2002   TZInfo::DataTimezone#period_for_utc
