Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.519878
Sort by: self_time

 %self      total      self      wait     child     calls  name
  3.90      0.137     0.137     0.000     0.000     2002   Time#strftime
  2.73      0.216     0.096     0.000     0.119    48048   ActiveRecord::Attribute#value
  2.35      0.083     0.083     0.000     0.000    52068   Kernel#class
  1.94      1.001     0.068     0.000     0.932    20034  *Array#each
  1.93      0.886     0.068     0.000     0.818    61081  *Class#new
  1.83      0.084     0.064     0.000     0.020    20020  *ActiveSupport::HashWithIndifferentAccess#convert_value
  1.53      0.105     0.054     0.000     0.051    35052   ActiveSupport::PerThreadRegistry#instance
  1.45      0.051     0.051     0.000     0.000     3005   SQLite3::Statement#step
  1.43      0.050     0.050     0.000     0.000    46049   String#to_s
  1.39      0.065     0.049     0.000     0.016    11016   Kernel#initialize_dup
  1.39      0.049     0.049     0.000     0.000    41095   <Class::Thread>#current
  1.39      0.049     0.049     0.000     0.000     9015   <Class::ActiveRecord::Base>#logger
  1.38      0.089     0.049     0.000     0.041     8008   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  1.36      0.273     0.048     0.000     0.225    10010   ActiveRecord::AttributeMethods::Dirty#store_original_raw_attribute
  1.36      0.267     0.048     0.000     0.219    13022  *Kernel#public_send
  1.35      0.096     0.047     0.000     0.049     3009   LoggerSilence#level
  1.35      0.096     0.047     0.000     0.049     5005   ActiveRecord::AttributeMethods#clone_attribute_value
  1.01      0.036     0.036     0.000     0.000   135144   Kernel#is_a?
  0.97      0.235     0.034     0.000     0.201     3005   ActiveSupport::Subscriber#finish
  0.96      0.034     0.034     0.000     0.000     2004   SQLite3::Statement#initialize
  0.96      0.036     0.034     0.000     0.002    33050   ThreadSafe::Cache#[]
  0.95      0.034     0.033     0.000     0.001    25025   ActiveSupport::HashWithIndifferentAccess#convert_key
  0.94      0.033     0.033     0.000     0.000     9009   <Class::ActiveRecord::Base>#default_timezone
  0.94      0.035     0.033     0.000     0.002     6006   TZInfo::TimeOrDateTime#initialize
  0.94      0.166     0.033     0.000     0.133    10010   ActiveSupport::HashWithIndifferentAccess#update
  0.93      0.033     0.033     0.000     0.000     6006   Time#getlocal
  0.93      0.033     0.033     0.000     0.000    18021   Symbol#to_s
  0.91      3.098     0.032     0.000     3.066     1001   ActiveRecord::Transactions#with_transaction_returning_status
  0.90      0.032     0.032     0.000     0.000    13013   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key
  0.90      0.049     0.032     0.000     0.018     2002   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#type_cast_from_user
  0.90      0.114     0.032     0.000     0.082    11015  *Kernel#dup
  0.90      0.166     0.032     0.000     0.135    20020   ActiveRecord::AttributeMethods::Read#_read_attribute
  0.90      0.204     0.032     0.000     0.172     8008   ActiveRecord::AttributeMethods::Dirty#changed_attributes
  0.90      0.032     0.032     0.000     0.000    41084   BasicObject#==
  0.90      0.274     0.032     0.000     0.242     1001   ActiveRecord::ConnectionAdapters::SavepointTransaction#initialize
  0.89      0.048     0.031     0.000     0.017     5005   ActiveRecord::LazyAttributeHash#assign_default_value
  0.89      0.084     0.031     0.000     0.053     9015   ActiveSupport::Subscriber#event_stack
  0.89      0.031     0.031     0.000     0.000     7007   Arel::Visitors::Visitor#dispatch
  0.89      0.031     0.031     0.000     0.000     5009   String#initialize
  0.89      0.133     0.031     0.000     0.101     1001   ActiveRecord::QueryMethods#build_arel
  0.54      0.068     0.019     0.000     0.048    63063   ActiveRecord::LazyAttributeHash#[]
  0.53      0.177     0.019     0.000     0.159    45054  *Kernel#respond_to?
  0.52      0.018     0.018     0.000     0.000     3005   Array#flatten
  0.52      0.018     0.018     0.000     0.000    16016   Symbol#to_sym
  0.52      0.086     0.018     0.000     0.068    63063   ActiveRecord::AttributeSet#[]
  0.50      0.069     0.018     0.000     0.051    12012   Object#acts_like?
  0.50      0.052     0.018     0.000     0.034     5005   ActiveRecord::AttributeSet#write_from_user
  0.50      0.018     0.018     0.000     0.000    37057   Thread#[]
  0.50      0.018     0.018     0.000     0.000    16016   #<Class:0x609b868>#__getobj__
  0.50      0.018     0.018     0.000     0.000    69077   Module#===
  0.49      0.137     0.017     0.000     0.120    10010   ActiveRecord::AttributeMethods::Dirty#changes_include?
  0.49      0.050     0.017     0.000     0.033    22022   ActiveModel::Dirty#changed_attributes
  0.49      0.034     0.017     0.000     0.017     7003   ActiveRecord::Type::Integer#cast_value
  0.49      0.235     0.017     0.000     0.218     5005   ActiveRecord::AttributeMethods::Dirty#old_attribute_value
  0.49      0.116     0.017     0.000     0.099     6008   Hash#each_pair
  0.49      0.580     0.017     0.000     0.563     3005   ActiveSupport::Notifications::Instrumenter#instrument
  0.47      0.017     0.017     0.000     0.000     6004   Integer#to_i
  0.47      0.032     0.017     0.000     0.016     3009   LoggerSilence#local_log_id
  0.47      0.017     0.017     0.000     0.001     3005   Time#minus_with_coercion
  0.47      0.154     0.017     0.000     0.137    10010   ActiveModel::Dirty#attribute_changed?
  0.47      0.106     0.017     0.000     0.090     2002   TZInfo::TransitionDataTimezoneInfo#period_for_utc
  0.47      0.102     0.017     0.000     0.086     2004   SQLite3::Database#prepare
  0.47      0.017     0.017     0.000     0.001     8008   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool
  0.47      0.234     0.017     0.000     0.217     1001   ActiveModel::Dirty#changes
  0.47      0.017     0.017     0.000     0.000    45045   Hash#key?
  0.47      0.017     0.017     0.000     0.000     4004   Hash#each_key
  0.47      0.048     0.017     0.000     0.032     6006   ActiveRecord::Delegation#primary_key
  0.47      0.113     0.017     0.000     0.096     3005   ActiveSupport::Logger#debug?
  0.47      0.051     0.017     0.000     0.034    15015   ActiveRecord::Attribute#changed_in_place_from?
  0.47      0.138     0.017     0.000     0.121    15015   ActiveRecord::AttributeMethods::Dirty#attribute_changed_in_place?
  0.47      0.612     0.017     0.000     0.596     3005   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.46      0.016     0.016     0.000     0.000     3005   ActiveRecord::ExplainSubscriber#start
  0.46      0.016     0.016     0.000     0.000     3008   Hash#initialize_copy
  0.46      0.016     0.016     0.000     0.000     5005   NilClass#duplicable?
  0.46      0.017     0.016     0.000     0.000     3003   ActiveRecord::Core#sync_with_transaction_state
  0.46      0.016     0.016     0.000     0.000     5005   ActiveRecord::AttributeMethods::Dirty#_field_changed?
  0.46      0.051     0.016     0.000     0.035     8010   <Class::ActiveRecord::RuntimeRegistry>#connection_handler
  0.46      0.064     0.016     0.000     0.048     1001   Arel::Visitors::ToSql#visit_Arel_Nodes_Values
  0.46      0.016     0.016     0.000     0.000     8010   <Class::ActiveRecord::Base>#default_connection_handler
  0.46      0.068     0.016     0.000     0.051     5002   ActiveRecord::Type::Integer#type_cast_for_database
  0.46      0.250     0.016     0.000     0.234     2002   ActiveRecord::AttributeAssignment#_assign_attribute
  0.46      0.016     0.016     0.000     0.000     1001   <Class::Hash>#[]
  0.46      0.153     0.016     0.000     0.137     2002   Time#to_formatted_s
  0.46      0.118     0.016     0.000     0.102    20020   ActiveRecord::AttributeSet#fetch_value
  0.46      0.210     0.016     0.000     0.194    14014   ActiveSupport::TimeWithZone#respond_to?
  0.46      0.016     0.016     0.000     0.000     3006   Kernel#object_id
  0.46      0.415     0.016     0.000     0.399     5005   Hash#each
  0.46      0.067     0.016     0.000     0.051     7003   ActiveRecord::Type::Numeric#type_cast
  0.46      0.016     0.016     0.000     0.000    10019   Kernel#instance_variable_defined?
  0.46      0.016     0.016     0.000     0.000     4004   Hash#update
  0.46      0.017     0.016     0.000     0.001     8011   ActiveRecord::ConnectionHandling#connection_id
  0.46      0.016     0.016     0.000     0.000     1001   ActiveRecord::Core#init_internals
  0.46      0.017     0.016     0.000     0.001     5005   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name
  0.46      0.189     0.016     0.000     0.172     8008   ActiveRecord::ConnectionHandling#retrieve_connection
  0.46      0.016     0.016     0.000     0.000    25025   ActiveRecord::AttributeMethods::Dirty#original_raw_attributes
  0.46      0.016     0.016     0.000     0.000     6007   Struct#initialize
  0.46      0.016     0.016     0.000     0.000     6006   ActiveRecord::AttributeMethods::Dirty#clear_changed_attributes_cache
  0.44      0.031     0.016     0.000     0.016     1001   ActiveRecord::Core#has_transactional_callbacks?
  0.44      0.118     0.016     0.000     0.102     2004   SQLite3::Database#execute
  0.44      0.016     0.016     0.000     0.001     1000   BasicObject#instance_eval
  0.44      2.035     0.016     0.000     2.019     1001   ActiveRecord::Validations#save
  0.44      0.033     0.016     0.000     0.018     1001   ActiveModel::Validations#valid?
  0.44      0.016     0.016     0.000     0.000     1001   Array#flatten!
  0.44      0.016     0.016     0.000     0.000     2001   Object#present?
  0.44      0.016     0.016     0.000     0.000     5005   Hash#[]
  0.44      0.016     0.016     0.000     0.000     1001   Arel::SelectManager#project
  0.44      0.017     0.016     0.000     0.001     5005   <Class::ActiveRecord::Attribute>#from_user
  0.44      0.016     0.016     0.000     0.000     1001   Array#-
  0.44      0.016     0.016     0.000     0.000     2004   Symbol#to_proc
  0.44      0.149     0.016     0.000     0.133     1001   ActiveRecord::Relation#substitute_values
  0.44      0.065     0.016     0.000     0.049     6006   Time#compare_with_coercion
  0.44      0.016     0.016     0.000     0.000     9013   Hash#initialize
  0.44      0.017     0.016     0.000     0.001     2002   DateAndTime::Zones#time_with_zone
  0.44      0.184     0.016     0.000     0.169     1001   ActiveRecord::ConnectionAdapters::Savepoints#release_savepoint
  0.44      0.016     0.016     0.000     0.000     2002   ActiveRecord::Transactions#clear_transaction_record_state
  0.44      0.017     0.016     0.000     0.001     5002   ActiveRecord::Type::Integer#ensure_in_range
  0.44      0.083     0.016     0.000     0.068     8010   <Class::ActiveRecord::Base>#connection_handler
  0.44      0.051     0.016     0.000     0.036    11009   ActiveRecord::Type::Value#type_cast
  0.44      0.300     0.016     0.000     0.284     3005   ActiveSupport::Notifications::Fanout#finish
  0.44      0.016     0.016     0.000     0.000     2002   TZInfo::TimezoneProxy#real_timezone
  0.44      0.409     0.016     0.000     0.393     2002   ActiveRecord::ConnectionAdapters::SQLite3Adapter#execute
  0.44      1.953     0.016     0.000     1.938     5008  *Proc#call
  0.44      0.017     0.016     0.000     0.001     2004   SQLite3::Statement#get_metadata
  0.44      0.017     0.016     0.000     0.001     1001   ActiveRecord::Delegation::ClassMethods#create
  0.44      0.016     0.016     0.000     0.000     1001   Arel::InsertManager#create_values
  0.44      0.850     0.016     0.000     0.834     1001   ActiveRecord::ConnectionAdapters::AbstractAdapter#insert
  0.44      0.019     0.016     0.000     0.003     2002   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#type_cast_from_database
  0.44      0.016     0.016     0.000     0.000     1001   ActiveRecord::Base#_validate_callbacks
  0.44      0.129     0.016     0.000     0.114     7007  *Arel::Visitors::Reduce#visit
  0.44      0.016     0.016     0.000     0.000     8008   String#hash
  0.44      0.018     0.016     0.000     0.003     1001   ActiveRecord::Scoping::Named::ClassMethods#scope_attributes?
  0.44      0.016     0.016     0.000     0.000     5007   Hash#merge!
  0.44      0.016     0.016     0.000     0.000    10010   Hash#regular_writer
  0.44      0.016     0.016     0.000     0.000     1001   ActiveRecord::ConnectionAdapters::AbstractAdapter::SQLString#compile
  0.09      0.040     0.003     0.000     0.037     4004   <Class::TZInfo::TimeOrDateTime>#wrap
  0.09      0.057     0.003     0.000     0.054     6006   ActiveRecord::Type::DateTime#type_cast_for_database
  0.07      0.085     0.003     0.000     0.082     5005   ActiveModel::Dirty#attribute_change
  0.06      0.035     0.002     0.000     0.033    26027  *Hash#fetch
  0.06      0.037     0.002     0.000     0.035    15015   ActiveRecord::AttributeMethods::Dirty#original_raw_attribute
  0.06      0.084     0.002     0.000     0.082     7007   ActiveSupport::HashWithIndifferentAccess#initialize
  0.06      0.533     0.002     0.000     0.531     5005   ActiveRecord::AttributeMethods::Dirty#write_attribute
  0.06      0.002     0.002     0.000     0.000    33050   ThreadSafe::NonConcurrentCacheBackend#[]
  0.04      0.070     0.002     0.000     0.069     3005   ActiveSupport::Subscriber#start
  0.04      0.033     0.002     0.000     0.032     1001   ActiveRecord::QueryMethods#build_select
  0.04      0.002     0.002     0.000     0.000     4004   Kernel#tap
  0.04      0.017     0.002     0.000     0.016     4004   Struct#hash
