Measure Mode: allocations
Thread ID: 20472972
Fiber ID: 20293392
Total: 2843.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  7.46    212.000   212.000     0.000     0.000       36   String#scan
  6.26    609.000   178.000     0.000   431.000      216  *Class#new
  4.19    119.000   119.000     0.000     0.000       40   String#gsub
  3.94    112.000   112.000     0.000     0.000       56   <Class::File>#join
  3.38    192.000    96.000     0.000    96.000       32   Sprockets::URIUtils#join_file_uri
  2.67    510.000    76.000     0.000   434.000       36   Sprockets::Resolve#parse_path_extnames
  2.39     68.000    68.000     0.000     0.000       17   Enumerable#sort_by
  2.25    128.000    64.000     0.000    64.000       80   Set#merge
  2.04     58.000    58.000     0.000     0.000       42   <Class::File>#basename
  2.00     57.000    57.000     0.000     0.000       21   String#split
  1.79     62.000    51.000     0.000    11.000       55   Kernel#dup
  1.44     41.000    41.000     0.000     0.000       44   Symbol#to_s
  1.41     76.000    40.000     0.000    36.000       36   Array#reverse_each
  1.27    370.000    36.000     0.000   334.000       36   Sprockets::PathUtils#match_path_extname
  1.20     34.000    34.000     0.000     0.000       34   Hash#values_at
  1.16     33.000    33.000     0.000     0.000       33   String#chomp
  1.13     64.000    32.000     0.000    32.000       32   Enumerable#each_entry
  1.13     64.000    32.000     0.000    32.000       16   Sprockets::Resolve#resolve_alternates
  1.13    416.000    32.000     0.000   384.000       32   Sprockets::PathDependencyUtils#file_digest_dependency_set
  1.13    128.000    32.000     0.000    96.000       16   Sprockets::Bower#resolve_alternates
  1.13     32.000    32.000     0.000     0.000       32   Set#add
  1.13     32.000    32.000     0.000     0.000       16   Enumerable#find
  1.13     32.000    32.000     0.000     0.000       16   <Class::File>#dirname
  0.91   2298.000    26.000     0.000  2272.000      185  *Array#each
  0.91     26.000    26.000     0.000     0.000       26   String#downcase
  0.77     29.000    22.000     0.000     7.000       23   Array#select
  0.74     21.000    21.000     0.000     0.000        2   Sprockets::PathUtils#relative_path?
  0.63     36.000    18.000     0.000    18.000       17   Rack::Utils::HeaderHash#[]=
  0.63     18.000    18.000     0.000     0.000        8   Regexp#===
  0.60     28.000    17.000     0.000    11.000        2   Rack::Utils#parse_nested_query
  0.60     85.000    17.000     0.000    68.000       17   Array#sort_by!
  0.60     18.000    17.000     0.000     1.000        6   String#sub
  0.60     17.000    17.000     0.000     0.000       24   <Class::Time>#now
  0.56    494.000    16.000     0.000   478.000       16   Sprockets::Resolve#dirname_matches
  0.56   1166.000    16.000     0.000  1150.000       16   Sprockets::Resolve#path_matches
  0.56    128.000    16.000     0.000   112.000       16   Sprockets::HTTPUtils#find_q_matches
  0.53     15.000    15.000     0.000     0.000       24   Hash#initialize_copy
  0.53     15.000    15.000     0.000     0.000       17   MatchData#[]
  0.49   1623.000    14.000     0.000  1609.000       14  *Array#map
  0.46   1640.000    13.000     0.000  1627.000        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb___1061075703_35949192
  0.46     58.000    13.000     0.000    45.000       19  *Rack::BodyProxy#respond_to?
  0.42     19.000    12.000     0.000     7.000       21   ActiveSupport::Notifications::Fanout#listeners_for
  0.42     12.000    12.000     0.000     0.000        5   String#%
  0.35   2763.000    10.000     0.000  2753.000        1   ActionDispatch::Integration::Session#process
  0.35     17.000    10.000     0.000     7.000        1   ActionController::TemplateAssertions#setup_subscriptions
  0.32      9.000     9.000     0.000     0.000        4   Regexp#match
  0.32     40.000     9.000     0.000    31.000        1   <Class::Rack::MockRequest>#env_for
  0.32     74.000     9.000     0.000    65.000        7   Logger#add
  0.28      8.000     8.000     0.000     0.000        7   String#=~
  0.28      8.000     8.000     0.000     0.000        8   Array#join
