Measure Mode: wall_time
Thread ID: 20079756
Fiber ID: 19903176
Total: 3.790256
Sort by: self_time

 %self      total      self      wait     child     calls  name
  3.50      0.133     0.133     0.000     0.000     2000   Time#strftime
  2.66      1.074     0.101     0.000     0.973    18016  *Array#each
  2.62      0.831     0.099     0.000     0.731    65016  *Class#new
  2.11      0.080     0.080     0.000     0.000     2002   SQLite3::Statement#initialize
  1.70      0.128     0.065     0.000     0.063     5000   ActiveRecord::AttributeMethods::Write#write_attribute_with_type_cast
  1.66      0.064     0.063     0.000     0.001    22000   ActiveModel::Dirty#changed_attributes
  1.30      0.049     0.049     0.000     0.000    52016   Kernel#class
  1.29      0.049     0.049     0.000     0.000    37020   Thread#[]
  1.29      0.049     0.049     0.000     0.000     9000   <Class::ActiveRecord::Base>#default_timezone
  1.28      0.048     0.048     0.000     0.000    72005   Module#===
  1.28      0.049     0.048     0.000     0.000    25000   ActiveSupport::HashWithIndifferentAccess#convert_key
  1.26      0.271     0.048     0.000     0.223    13009  *Kernel#public_send
  1.26      0.232     0.048     0.000     0.184     3002   ActiveSupport::Subscriber#finish
  1.26      0.049     0.048     0.000     0.001     6000   TZInfo::TimeOrDateTime#initialize
  1.25      0.118     0.047     0.000     0.071     3002   ActiveRecord::LogSubscriber#sql
  1.00      0.104     0.038     0.000     0.066    35017   ActiveSupport::PerThreadRegistry#instance
  0.96      0.178     0.036     0.000     0.141    48000   ActiveRecord::Attribute#value
  0.96      0.037     0.036     0.000     0.001     3002   SQLite3::Statement#step
  0.94      0.053     0.036     0.000     0.017    12000   Object#acts_like?
  0.93      0.035     0.035     0.000     0.000   140004   Kernel#is_a?
  0.93      0.086     0.035     0.000     0.051    63000   ActiveRecord::LazyAttributeHash#[]
  0.92      0.035     0.035     0.000     0.000     6000   Time#getlocal
  0.90      0.816     0.034     0.000     0.782     6001   Array#map
  0.89      0.346     0.034     0.000     0.313    45009  *Kernel#respond_to?
  0.89      0.116     0.034     0.000     0.082    15000   ActiveRecord::AttributeMethods::Dirty#original_raw_attribute
  0.89      0.034     0.034     0.000     0.000    45000   Hash#key?
  0.88      0.265     0.033     0.000     0.232     4000   ActiveRecord::ConnectionAdapters::Quoting#_type_cast
  0.88      0.033     0.033     0.000     0.000    41054   <Class::Thread>#current
  0.88      0.174     0.033     0.000     0.141    15000   ActiveRecord::AttributeMethods::Dirty#attribute_changed_in_place?
  0.88      0.083     0.033     0.000     0.050    26001  *Hash#fetch
  0.86      0.033     0.033     0.000     0.000    10009   Kernel#instance_variable_defined?
  0.86      0.033     0.033     0.000     0.000    18003   Symbol#to_s
  0.86      0.033     0.033     0.000     0.000    12002   Kernel#hash
  0.85      0.138     0.032     0.000     0.106    20000   ActiveRecord::AttributeMethods::Read#_read_attribute
  0.85      0.051     0.032     0.000     0.019     5000   ActiveRecord::LazyAttributeHash#assign_default_value
  0.85      0.141     0.032     0.000     0.109    10000   ActiveRecord::Attribute#original_value
  0.85      1.727     0.032     0.000     1.695     1000   ActiveRecord::Persistence#_create_record
  0.85      0.118     0.032     0.000     0.086    63000   ActiveRecord::AttributeSet#[]
  0.85      0.032     0.032     0.000     0.000     8002   <Class::ActiveRecord::Base>#default_connection_handler
  0.85      0.032     0.032     0.000     0.000     1000   Array#zip
  0.84      0.316     0.032     0.000     0.285     3002   ActiveSupport::Notifications::Fanout#finish
  0.84      0.142     0.032     0.000     0.110     8000   ActiveRecord::ConnectionHandling#retrieve_connection
  0.84      0.145     0.032     0.000     0.113     4000   <Class::TZInfo::TimeOrDateTime>#wrap
  0.82      0.031     0.031     0.000     0.000    22011   Kernel#block_given?
  0.82      0.031     0.031     0.000     0.000     5000   <Class::#<Class:0x3167028>>#new
  0.82      0.049     0.031     0.000     0.018     9006   ActiveRecord::LogSubscriber#logger
  0.82      0.047     0.031     0.000     0.016     5000   ActiveRecord::Attribute#with_value_from_user
  0.82      0.173     0.031     0.000     0.142     8000   ActiveRecord::ConnectionHandling#connection
  0.53      0.020     0.020     0.000     0.000    47002   String#to_s
  0.48      0.051     0.018     0.000     0.033     9000   ActiveRecord::Type::Value#type_cast
  0.48      0.202     0.018     0.000     0.183    10000   ActiveModel::Dirty#attribute_changed?
  0.48      0.019     0.018     0.000     0.001     5000   ActiveSupport::HashWithIndifferentAccess#[]=
  0.47      0.025     0.018     0.000     0.007    15000   ActiveRecord::Attribute#changed_in_place_from?
  0.46      0.018     0.018     0.000     0.000     9006   <Class::ActiveRecord::Base>#logger
  0.46      0.018     0.018     0.000     0.000     6000   ActiveRecord::AttributeMethods::Dirty#clear_changed_attributes_cache
  0.46      0.020     0.018     0.000     0.002    33017   ThreadSafe::Cache#[]
  0.45      0.308     0.017     0.000     0.291    10000   ActiveRecord::AttributeMethods::Dirty#store_original_raw_attribute
  0.45      0.017     0.017     0.000     0.000    26000   Kernel#===
  0.44      0.018     0.017     0.000     0.002     5000   ActiveRecord::Attribute#changed_from?
  0.44      0.330     0.017     0.000     0.314    14000   ActiveSupport::TimeWithZone#respond_to?
  0.44      0.036     0.017     0.000     0.019     2000   DateAndTime::Zones#in_time_zone
  0.44      0.164     0.017     0.000     0.148     6000   #<Class:0x609b868>#type_cast_for_database
  0.44      0.017     0.017     0.000     0.000     4004   Array#push
  0.44      0.017     0.017     0.000     0.000    16000   #<Class:0x609b868>#__getobj__
  0.44      0.103     0.017     0.000     0.086     5000   ActiveModel::Dirty#attribute_change
  0.44      0.259     0.017     0.000     0.242    10000   ActiveRecord::Attribute#value_for_database
  0.44      0.037     0.017     0.000     0.020     5000   #<Module:0x60c0018>#__temp__9646
  0.44      0.067     0.017     0.000     0.050     9006   ActiveSupport::Subscriber#event_stack
  0.44      0.018     0.017     0.000     0.001     7007   <Class::Time>#now
  0.44      0.107     0.017     0.000     0.090     5000   ActiveRecord::Attribute::FromUser#type_cast
  0.44      0.132     0.017     0.000     0.115     6000   ActiveRecord::Type::DateTime#type_cast_for_database
  0.43      0.016     0.016     0.000     0.000     6000   TZInfo::TimeOrDateTime#to_orig
  0.43      0.037     0.016     0.000     0.021    11004  *Kernel#dup
  0.43      0.163     0.016     0.000     0.147     1000   ActiveRecord::QueryMethods#build_arel
  0.43      0.016     0.016     0.000     0.000     3002   String#split
  0.43      0.016     0.016     0.000     0.000     7000   Arel::Visitors::Visitor#dispatch
  0.43      0.016     0.016     0.000     0.000     1000   ActiveRecord::Base#_run_validate_callbacks
  0.43      0.097     0.016     0.000     0.081    15000   ActiveSupport::HashWithIndifferentAccess#key?
  0.43      0.162     0.016     0.000     0.146    15000   ActiveModel::Dirty#changes_include?
  0.43      0.720     0.016     0.000     0.704     5000   ActiveRecord::AttributeMethods::Dirty#write_attribute
  0.43      0.051     0.016     0.000     0.035     6000   Time#to_time
  0.43      0.016     0.016     0.000     0.000     4004   SQLite3::Statement#column_count
  0.43      0.052     0.016     0.000     0.036     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.43      0.033     0.016     0.000     0.017     3002   ActiveSupport::Notifications::Event#initialize
  0.43      0.016     0.016     0.000     0.000     8002   <Module::Process>#pid
  0.43      0.016     0.016     0.000     0.000     9004   Hash#initialize
  0.43      0.016     0.016     0.000     0.000     3002   Time#minus_without_duration
