Measure Mode: memory
Thread ID: 20079756
Fiber ID: 19903176
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Thread::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#add
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::NonConcurrentCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::MriCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionHandling#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   Array#clear
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback_records
   NaN      0.000     0.000     0.000     0.000        1   Hash#include?
   NaN      0.000     0.000     0.000     0.000        1   Set#include?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionState#set_state
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   SQLite3::Database#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::SQLite3Adapter#exec_rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::RealTransaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionManager#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#closed?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionManager#current_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#current_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#after_teardown
   NaN      0.000     0.000     0.000     0.000        2   Array#delete
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe
   NaN      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::IntegrationTest>#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::SetupAndTeardown#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#before_teardown
   NaN      0.000     0.000     0.000     0.000        2   ActiveModel::Serialization#serializable_add_includes
   NaN      0.000     0.000     0.000     0.000        2   #<Module:0x60c0018>#__temp__57074616475646f51647
   NaN      0.000     0.000     0.000     0.000        2   #<Module:0x60c0018>#__temp__36275616475646f51647
   NaN      0.000     0.000     0.000     0.000        2   #<Module:0x60c0018>#__temp__56d61696c6
   NaN      0.000     0.000     0.000     0.000        2   #<Module:0x60c0018>#__temp__e6f6d656
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::AttributeSet#[]
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::AttributeSet#fetch_value
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::AttributeMethods::Read#_read_attribute
   NaN      0.000     0.000     0.000     0.000        2   #<Module:0x60c0018>#__temp__9646
   NaN      0.000     0.000     0.000     0.000        4   ActiveSupport::TimeWithZone#initialize
   NaN      0.000     0.000     0.000     0.000        4   Time#utc?
   NaN      0.000     0.000     0.000     0.000        4   DateAndTime::Zones#time_with_zone
   NaN      0.000     0.000     0.000     0.000        4   <Class::Time>#find_zone!
   NaN      0.000     0.000     0.000     0.000        4   DateAndTime::Zones#in_time_zone
   NaN      0.000     0.000     0.000     0.000        4   <Class::Time>#zone
   NaN      0.000     0.000     0.000     0.000        8   String#intern
   NaN      0.000     0.000     0.000     0.000        8   Object#acts_like?
   NaN      0.000     0.000     0.000     0.000        4   Module#const_get
   NaN      0.000     0.000     0.000     0.000        4   <Class::Delegator>#const_missing
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#convert_time_to_time_zone
   NaN      0.000     0.000     0.000     0.000        4   Fixnum#divmod
   NaN      0.000     0.000     0.000     0.000        4   <Class::Time>#utc
   NaN      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::Base>#default_timezone
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::Type::TimeValue#new_time
   NaN      0.000     0.000     0.000     0.000       24   String#to_i
   NaN      0.000     0.000     0.000     0.000        4   Rational#to_i
   NaN      0.000     0.000     0.000     0.000        4   Rational#*
   NaN      0.000     0.000     0.000     0.000       12   Fixnum#div
   NaN      0.000     0.000     0.000     0.000        4   NilClass#to_r
   NaN      0.000     0.000     0.000     0.000        4   String#=~
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::Type::TimeValue#fast_string_to_time
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::Type::DateTime#cast_value
   NaN      0.000     0.000     0.000     0.000        4   #<Class:0x609b868>#__getobj__
   NaN      0.000     0.000     0.000     0.000        4   #<Class:0x609b868>#type_cast_from_database
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#type_cast_from_database
   NaN      0.000     0.000     0.000     0.000       65   BasicObject#==
   NaN      0.000     0.000     0.000     0.000        8   Kernel#===
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::Type::String#cast_value
   NaN      0.000     0.000     0.000     0.000        8   ActiveRecord::Type::Value#type_cast
   NaN      0.000     0.000     0.000     0.000        8   ActiveRecord::Type::Value#type_cast_from_database
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Type::Integer#type_cast_from_database
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::Attribute::FromDatabase#type_cast
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::Attribute#original_value
   NaN      0.000     0.000     0.000     0.000       20   ActiveRecord::Attribute#value
   NaN      0.000     0.000     0.000     0.000        2   Hash#each
   NaN      0.000     0.000     0.000     0.000        2   Hash#transform_values
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::Attribute#initialized?
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::Attribute#initialize
   NaN      0.000     0.000     0.000     0.000       10   <Class::ActiveRecord::Attribute>#from_database
   NaN      0.000     0.000     0.000     0.000       10   ActiveRecord::LazyAttributeHash#assign_default_value
   NaN      0.000     0.000     0.000     0.000       20   ActiveRecord::LazyAttributeHash#[]
   NaN      0.000     0.000     0.000     0.000        2   Enumerable#each_with_object
   NaN      0.000     0.000     0.000     0.000        8   Hash#keys
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::LazyAttributeHash#select
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::AttributeSet#initialized_attributes
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::AttributeSet#to_hash
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::AttributeMethods#attributes
   NaN      0.000     0.000     0.000     0.000        2   ActiveModel::Serialization#serializable_hash
   NaN      0.000     0.000     0.000     0.000        6   Array#|
   NaN      0.000     0.000     0.000     0.000        4   NilClass#to_a
   NaN      0.000     0.000     0.000     0.000        8   Kernel#Array
   NaN      0.000     0.000     0.000     0.000        2   NilClass#try
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Serialization#serializable_hash
   NaN      0.000     0.000     0.000     0.000        2   <Class::ActiveRecord::Base>#include_root_in_json
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Base#include_root_in_json
   NaN      0.000     0.000     0.000     0.000        2   ActiveModel::Serializers::JSON#as_json
   NaN      0.000     0.000     0.000     0.000        1   Array#as_json
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryMethods#readonly_value
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Relation#build_preloader
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryMethods#preload_values
   NaN      0.000     0.000     0.000     0.000        2   <Class::ActiveRecord::Base>#_initialize_callbacks
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Base#_initialize_callbacks
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Base#_run_initialize_callbacks
   NaN      0.000     0.000     0.000     0.000        2   <Class::ActiveRecord::Base>#_find_callbacks
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Base#_find_callbacks
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Base#_run_find_callbacks
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Core#init_internals
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveRecord::LegacyYamlAdapter>#convert
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Core#init_with
   NaN      0.000     0.000     0.000     0.000        2   Class#allocate
   NaN      0.000     0.000     0.000     0.000        4   ActiveRecord::AttributeMethods::ClassMethods#define_attribute_methods
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Core::ClassMethods#allocate
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::AttributeSet#initialize
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::LazyAttributeHash#initialize
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::AttributeSet::Builder#build_from_database
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::ModelSchema::ClassMethods#attributes_builder
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Persistence::ClassMethods#discriminate_class_for_record
   NaN      0.000     0.000     0.000     0.000        2   NilClass#blank?
   NaN      0.000     0.000     0.000     0.000        8  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Inheritance::ClassMethods#using_single_table_inheritance?
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Inheritance::ClassMethods#discriminate_class_for_record
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Persistence::ClassMethods#instantiate
   NaN      0.000     0.000     0.000     0.000        5   String#freeze
   NaN      0.000     0.000     0.000     0.000        5   String#initialize_copy
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Result#hash_rows
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Result#each
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Result#length
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for
   NaN      0.000     0.000     0.000     0.000        1   <Module::ActiveSupport::Notifications>#instrumenter
   NaN      0.000     0.000     0.000     0.000        6   Hash#delete
   NaN      0.000     0.000     0.000     0.000        1   Hash#each_key
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Attributes::ClassMethods#columns_hash
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Result#initialize
   NaN      0.000     0.000     0.000     0.000        1   Array#to_a
   NaN      0.000     0.000     0.000     0.000        1   Enumerable#to_a
   NaN      0.000     0.000     0.000     0.000        5   SQLite3::Statement#column_decltype
   NaN      0.000     0.000     0.000     0.000        5   SQLite3::Statement#column_name
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#without_prepared_statement?
   NaN      0.000     0.000     0.000     0.000       88   String#===
   NaN      0.000     0.000     0.000     0.000       88   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to?
   NaN      0.000     0.000     0.000     0.000        3   Array#select
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::SQLite3Adapter#exec_query
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#select
